X	Z
0.000000	303.869775
110.818291	313.519206
272.656534	323.147860
384.725900	332.704500
571.462193	353.144918
695.297059	363.281614
714.347599	367.718911
863.743821	382.195734
970.264441	398.915799
1073.992718	410.881776
1569.275930	482.112692
1573.624187	485.422337
1718.602071	506.274799
1742.268031	513.165685
1779.408992	516.234270
1797.768297	524.575533
1819.227209	526.025449
1869.555203	532.697599
1876.895063	537.525428
1892.089132	538.969341
1942.593205	545.823446
2019.940815	564.193243
2108.257050	578.734797
2123.578204	585.612996
2212.125378	601.726470
2223.362775	606.984872
2263.732454	614.940778
2268.709836	617.301406
2431.054399	652.983753
2436.895163	655.780580
2454.613250	658.065153
2479.465112	669.729984
2497.040239	673.112065
2501.275597	677.448458
2529.033681	683.586081
2672.734153	770.258427
2686.911343	775.148571
2689.757128	779.933839
2700.869863	783.086292
2705.699496	789.495891
2761.897238	820.979125
2793.586314	848.392931
2801.256610	864.621549
2948.153171	970.924688
2986.000924	993.498696
