X	Z	mu_r	e	mu	trees_density	trees_dhp_mean	trees_dhp_std
1.0	342.2	0.05	0.1	0.6	10.0	5.0	4.0
3.0	341.9	0.05	0.1	0.6	10.0	5.0	4.0
6.0	340.1	0.05	0.1	0.6	10.0	5.0	4.0
8.0	338.4	0.05	0.1	0.6	10.0	5.0	4.0
10.0	336.3	0.05	0.1	0.6	10.0	5.0	4.0
13.0	333.8	0.05	0.1	0.6	10.0	5.0	4.0
14.0	331.3	0.05	0.1	0.6	10.0	5.0	4.0
15.0	329.2	0.05	0.1	0.6	10.0	5.0	4.0
16.0	325.2	0.05	0.1	0.6	10.0	5.0	4.0
17.0	323.3	0.1	0.05	0.5	10.0	5.0	4.0
19.9	319.6	0.1	0.05	0.5	10.0	5.0	4.0
22.9	316.6	0.1	0.05	0.5	10.0	5.0	4.0
24.9	314.9	0.1	0.05	0.5	10.0	5.0	4.0
26.9	312.7	0.1	0.05	0.5	10.0	5.0	4.0
29.9	310.3	0.1	0.05	0.5	10.0	5.0	4.0
34.9	305.9	0.1	0.05	0.5	10.0	5.0	4.0
37.9	303.4	0.1	0.05	0.5	10.0	5.0	4.0
41.9	300.4	0.1	0.05	0.5	10.0	5.0	4.0
45.9	297.1	0.1	0.05	0.5	10.0	5.0	4.0
48.9	295.1	0.1	0.05	0.5	10.0	5.0	4.0
51.9	292.8	0.1	0.05	0.5	10.0	5.0	4.0
62.8	284.8	0.1	0.05	0.5	10.0	5.0	4.0
64.8	283.6	0.1	0.05	0.5	10.0	5.0	4.0
66.7	281.9	0.1	0.05	0.5	10.0	5.0	4.0
68.7	280.3	0.1	0.05	0.5	10.0	5.0	4.0
73.6	276.8	0.1	0.05	0.5	10.0	5.0	4.0
75.6	274.7	0.1	0.05	0.5	10.0	5.0	4.0
76.6	273.8	0.1	0.05	0.5	10.0	5.0	4.0
77.6	273.2	0.1	0.05	0.5	10.0	5.0	4.0
82.5	269.9	0.1	0.05	0.5	10.0	5.0	4.0
84.5	268.5	0.1	0.05	0.5	10.0	5.0	4.0
87.4	266.8	0.1	0.05	0.5	10.0	5.0	4.0
89.4	265.7	0.1	0.05	0.5	10.0	5.0	4.0
94.4	263.1	0.1	0.05	0.5	10.0	5.0	4.0
97.3	261.7	0.1	0.05	0.5	10.0	5.0	4.0
101.3	259.6	0.1	0.05	0.5	10.0	5.0	4.0
102.3	259.2	0.1	0.05	0.5	10.0	5.0	4.0
107.2	257.1	0.1	0.05	0.5	10.0	5.0	4.0
108.2	256.8	0.2	0.02	0.9	200.0	30.0	10.0
111.1	256.3	0.2	0.02	0.9	200.0	30.0	10.0
119.0	255.3	0.2	0.02	0.9	200.0	30.0	10.0
124.0	254.9	0.2	0.02	0.9	200.0	30.0	10.0
128.9	254.5	0.2	0.02	0.9	200.0	30.0	10.0
136.8	254.1	0.2	0.02	0.9	200.0	30.0	10.0
141.8	254.0	0.2	0.02	0.9	200.0	30.0	10.0
148.7	253.8	0.2	0.02	0.9	200.0	30.0	10.0
150.6	253.8	0.2	0.02	0.9	200.0	30.0	10.0
153.6	253.7	0.2	0.02	0.9	200.0	30.0	10.0
159.5	253.7	0.2	0.02	0.9	200.0	30.0	10.0
161.5	253.6	0.2	0.02	0.9	200.0	30.0	10.0
164.5	253.7	0.2	0.02	0.9	200.0	30.0	10.0
168.4	253.5	0.2	0.02	0.9	200.0	30.0	10.0
173.4	253.6	0.2	0.02	0.9	200.0	30.0	10.0
176.4	253.5	0.2	0.02	0.9	200.0	30.0	10.0
182.3	253.4	0.2	0.02	0.9	200.0	30.0	10.0
184.3	253.5	0.2	0.02	0.9	200.0	30.0	10.0
186.2	253.4	0.2	0.02	0.9	200.0	30.0	10.0
