X	Z
0.0	1054.54	
2.0	1051.82	
4.0	1048.17	
6.99	1044.54	
11.99	1039.54	
16.98	1033.32	
24.97	1026.37	
28.97	1023.38	
34.96	1017.87	
43.95	1011.49	
49.94	1005.48	
53.94	1001.77	
58.93	998.44	
59.93	998.24	
62.93	995.07	
64.93	991.98	
66.93	989.9	
69.92	988.18	
81.91	978.61	
87.9	970.34	
89.9	968.29	
92.9	966.96	
95.89	963.67	
97.89	957.81	
100.89	943.42	
101.89	940.97	
105.88	935.4	
110.88	930.17	
112.87	926.95	
114.87	921.03	
116.87	913.61	
117.87	911.58	
122.86	908.12	
128.86	903.09	
132.85	898.25	
134.85	893.84	
137.85	885.88	
138.85	883.93	
141.84	876.21	
143.84	873.46	
145.84	869.31	
147.84	866.33	
150.83	863.51	
155.83	857.68	
157.82	855.72	
161.82	850.52	
169.81	841.92	
176.8	832.26	
183.8	818.99	
186.79	810.69	
188.79	805.97	
193.78	796.18	
198.78	787.95	
201.78	782.09	
205.77	775.81	
212.76	766.84	
218.76	757.28	
223.75	748.34	
226.75	745.01	
229.74	743.08	
232.74	740.58	
238.73	736.58	
241.73	733.91	
245.73	731.17	
252.72	725.52	
256.71	722.72	
260.71	719.37	
262.71	718.25	
272.7	710.75	
283.68	702.92	
289.68	698.41	
296.67	693.93	
301.66	690.48	
305.66	687.18	
312.65	681.99	
325.64	672.91	
334.63	666.15	
338.62	663.34	
348.61	656.79	
354.61	652.08	
366.59	644.47	
368.59	642.6	
374.58	639.16	
376.58	637.45	
384.57	632.77	
389.57	629.27	
393.56	627.61	
397.56	625.06	
404.55	621.45	
406.55	620.7	
410.54	617.68	
419.53	615.55	
421.53	614.56	
424.53	611.93	
428.52	609.3	
432.52	608.41	
434.52	607.1	
438.51	605.48	
448.5	600.38	
451.5	599.44	
460.49	598.16	
464.48	595.22	
467.48	592.53	
479.47	590.82	
480.47	589.79	
485.46	588.17	
491.46	583.65	
507.45	576.56	
513.45	575.39	
516.45	575.23	
524.45	570.31	
526.45	570.03	
531.45	567.79	
540.44	565.85	
542.44	562.8	
545.44	562.33	
547.44	561.02	
554.44	559.87	
559.44	558.26	
566.43	556.35	
578.43	553.55	
580.43	553.32	
583.43	550.57	
592.43	550.04	
599.42	549.44	
601.42	548.14	
604.42	547.63	
605.42	545.19	
609.42	543.78	
611.42	542.27	
622.42	539.15	
626.41	538.47	
628.41	537.69	
642.41	534.41	
654.41	531.76	
666.4	530.02	
669.4	528.35	
673.4	527.75	
675.4	526.84	
685.4	525.8	
690.39	525.86	
695.39	523.27	
701.39	521.6	
706.39	521.39	
709.39	519.04	
712.39	518.64	
723.38	516.0	
733.38	513.88	
754.37	509.96	
757.37	509.23	
765.37	508.06	
768.37	506.62	
771.37	506.29	
781.36	506.06	
783.36	504.98	
834.06	502.29	
934.06	499.87
